;Univers;n;gov
231;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Московский государственный университет имени M.В.Ломоносова&quot;";595;1
281;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Санкт-Петербургский государственный университет&quot;";314;1
149;"Федеральное государственное бюджетное научное учреждение &quot;Федеральный исследовательский центр Институт прикладной физики Российской академии наук&quot;";132;1
89;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Уральский федеральный университет имени первого Президента России Б.Н. Ельцина&quot;";116;1
59;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Казанский (Приволжский) федеральный университет&quot;";114;1
62;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Московский физико-технический институт (национальный исследовательский университет)&quot;";97;1
65;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Национальный исследовательский Томский государственный университет&quot;";96;1
66;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Национальный исследовательский Томский политехнический университет&quot;";93;1
406;Федеральное государственное бюджетное учреждение науки Институт биоорганической химии им. академиков М.М. Шемякина и Ю.А. Овчинникова Российской академии наук;90;1
63;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского&quot;";89;1
67;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Национальный исследовательский университет &quot;Высшая школа экономики&quot;";87;1
621;Федеральное государственное бюджетное учреждение науки Физико-технический институт им. А.Ф. Иоффе Российской академии наук;82;1
643;"Федеральное государственное учреждение &quot;Федеральный исследовательский центр &quot;Фундаментальные основы биотехнологии&quot; Российской академии наук&quot;";71;1
64;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Национальный исследовательский технологический университет &quot;МИСиС&quot;";68;1
469;федеральное государственное бюджетное учреждение науки Институт молекулярной биологии им. В.А. Энгельгардта Российской академии наук;67;1
571;федеральное государственное бюджетное учреждение науки Институт элементоорганических соединений им. А.Н.Несмеянова Российской академии наук;67;1
91;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Южный федеральный университет&quot;";63;1
73;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Новосибирский национальный исследовательский государственный университет&quot;";61;1
83;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Санкт-Петербургский политехнический университет Петра Великого&quot;";61;1
530;Федеральное государственное бюджетное учреждение науки Институт теплофизики им. С.С. Кутателадзе Сибирского отделения Российской академии наук;61;1
485;Федеральное государственное бюджетное учреждение науки Институт органической химии им. Н.Д. Зелинского Российской академии наук;59;1
478;федеральное государственное бюджетное учреждение науки Институт общей и неорганической химии им. Н.С. Курнакова Российской академии наук;51;1
275;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Самарский государственный технический университет&quot;";50;1
72;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Национальный исследовательский ядерный университет &quot;МИФИ&quot;&quot;";49;1
236;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Национальный исследовательский университет &quot;МЭИ&quot;";49;1
475;федеральное государственное бюджетное учреждение науки Институт неорганической химии им. А.В.Николаева Сибирского отделения Российской академии наук;49;1
70;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Национальный исследовательский университет ИТМО&quot;";47;1
561;Федеральное государственное бюджетное учреждение науки Институт цитологии Российской академии наук;47;1
624;федеральное государственное бюджетное учреждение науки Физический институт им.П.Н.Лебедева Российской академии наук;47;1
150;"федеральное государственное бюджетное научное учреждение &quot;Федеральный исследовательский центр Институт цитологии и генетики Сибирского отделения Российской академии наук&quot;";46;1
587;Федеральное государственное бюджетное учреждение науки Объединенный институт высоких температур Российской академии наук;45;1
644;"Федеральное государственное учреждение &quot;Федеральный исследовательский центр Институт прикладной математики им. М.В. Келдыша Российской академии наук&quot;";45;1
285;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского&quot;";44;1
341;"федеральное государственное бюджетное учреждение &quot;Национальный исследовательский центр&quot;Курчатовский институт&quot;";43;1
146;"Федеральное государственное бюджетное научное учреждение &quot;Федеральный исследовательский центр &quot;Красноярский научный центр Сибирского отделения Российской академии наук&quot;";40;1
158;Федеральное государственное бюджетное научное учреждение Уфимский федеральный исследовательский центр Российской академии наук;40;1
645;"Федеральное государственное учреждение &quot;Федеральный научно-исследовательский центр &quot;Кристаллография и фотоника&quot; Российской академии наук&quot;";40;1
379;"Федеральное государственное бюджетное учреждение науки &quot;Федеральный исследовательский центр &quot;Казанский научный центр Российской академии наук&quot;";38;1
403;Федеральное государственное бюджетное учреждение науки Институт биологии гена Российской академии наук;38;1
537;Федеральное государственное бюджетное учреждение науки Институт физики полупроводников им. А.В. Ржанова Сибирского отделения Российской академии наук;38;1
482;Федеральное государственное бюджетное учреждение науки Институт океанологии им. П.П. Ширшова Российской академии наук;37;1
447;Федеральное государственное бюджетное учреждение науки Институт катализа им. Г.К. Борескова Сибирского отделения Российской академии наук;36;1
448;Федеральное государственное бюджетное учреждение науки Институт космических исследований Российской академии наук;36;1
480;федеральное государственное бюджетное учреждение науки Институт общей физики им. А.М. Прохорова Российской академии наук;36;1
590;Федеральное государственное бюджетное учреждение науки Ордена Трудового Красного Знамени Институт нефтехимического синтеза им. А.В.Топчиева Российской академии наук;36;1
557;федеральное государственное бюджетное учреждение науки Институт химической биологии и фундаментальной медицины Сибирского отделения Российской академии наук;35;1
56;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Белгородский государственный национальный исследовательский университет&quot;";34;1
144;"федеральное государственное бюджетное научное учреждение &quot;Томский национальный исследовательский медицинский центр Российской академии наук&quot;";34;1
505;федеральное государственное бюджетное учреждение науки Институт проблем экологии и эволюции им. А.Н. Северцова Российской академии наук;34;1
509;федеральное государственное бюджетное учреждение науки Институт радиотехники и электроники им. В.А.Котельникова Российской академии наук;33;1
492;Федеральное государственное бюджетное учреждение науки Институт проблем механики им. А.Ю. Ишлинского Российской академии наук;32;1
463;Федеральное государственное бюджетное учреждение науки Институт металлоорганической химии им. Г.А. Разуваева Российской академии наук;30;1
183;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Воронежский государственный университет&quot;";29;1
228;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет)&quot;";29;1
357;"Федеральное государственное бюджетное учреждение &quot;Федеральный научно-клинический центр физико-химической медицины Федерального медико-биологического агентства&quot;";29;1
539;федеральное государственное бюджетное учреждение науки Институт физики твердого тела Российской академии наук;29;1
367;Федеральное государственное бюджетное учреждение науки «Федеральный исследовательский центр «Казанский научный центр Российской академии наук»;28;1
538;Федеральное государственное бюджетное учреждение науки Институт физики прочности и материаловедения Сибирского отделения Российской академии наук;28;1
579;Федеральное государственное бюджетное учреждение науки Математический институт им. В.А. Стеклова Российской академии наук;28;1
222;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Московский авиационный институт (национальный исследовательский университет)&quot;";27;1
197;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Иркутский государственный университет&quot;";26;1
237;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Нижегородский государственный технический университет им. Р.Е. Алексеева&quot;";26;1
368;Федеральное государственное бюджетное учреждение науки «Федеральный исследовательский центр «Пущинский научный центр биологических исследований Российской академии наук»;26;1
429;федеральное государственное бюджетное учреждение науки Институт геологии и минералогии им. В.С.Соболева Сибирского отделения Российской академии наук (ИГМ СО РАН);26;1
513;Федеральное государственное бюджетное учреждение науки Институт сильноточной электроники Сибирского отделения Российской академии наук;26;1
546;федеральное государственное бюджетное учреждение науки Институт физической химии и электрохимии им. А. Н. Фрумкина Российской академии наук;26;1
586;федеральное государственное бюджетное учреждение науки Новосибирский институт органической химии им. Н.Н. Ворожцова Сибирского отделения Российской академии наук;26;1
151;"Федеральное государственное бюджетное научное учреждение &quot;Федеральный исследовательский центр Институт цитологии и генетики Сибирского отделения Российской академии наук&quot;";25;1
483;федеральное государственное бюджетное учреждение науки Институт оптики атмосферы им. В.Е. Зуева Сибирского отделения Российской академии наук;25;1
504;Федеральное государственное бюджетное учреждение науки Институт проблем химической физики Российской академии наук;25;1
594;Федеральное государственное бюджетное учреждение науки Пермский федеральный исследовательский центр Уральского отделения Российской академии наук;25;1
55;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Балтийский федеральный университет имени Иммануила Канта&quot;";24;1
58;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Дальневосточный федеральный университет&quot;";24;1
254;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Пермский национальный исследовательский политехнический университет&quot;";24;1
524;федеральное государственное бюджетное учреждение науки Институт теоретической и прикладной механики им. С.А. Христиановича Сибирского отделения Российской академии наук;24;1
123;"Федеральное государственное бюджетное научное учреждение &quot;Научно-исследовательский институт биомедицинской химии имени В.Н. Ореховича&quot;";23;1
391;"Федеральное государственное бюджетное учреждение науки Институт &quot;Международный томографический центр&quot; Сибирского отделения Российской академии наук";23;1
424;федеральное государственное бюджетное учреждение науки Институт географии Российской Академии наук;23;1
542;Федеральное государственное бюджетное учреждение науки Институт физиологии растений им. К.А. Тимирязева Российской академии наук;23;1
581;Федеральное государственное бюджетное учреждение науки Музей антропологии и этнографии им. Петра Великого (Кунсткамера) Российской академии наук;23;1
87;"Федеральное государственное автономное образовательное учреждение высшего образования &quot;Сибирский федеральный университет&quot;";22;1
113;"Федеральное государственное бюджетное научное учреждение &quot;Всероссийский научно-исследовательский институт сельскохозяйственной микробиологии&quot;";22;1
354;"федеральное государственное бюджетное учреждение &quot;Петербургский институт ядерной физики им. Б.П. Константинова Национального исследовательского центра &quot;Курчатовский институт&quot;";21;1
477;Федеральное государственное бюджетное учреждение науки Институт общей генетики им. Н.И. Вавилова Российской академии наук;21;1
422;Федеральное государственное бюджетное учреждение науки Институт вычислительной математики им. Г.И. Марчука Российской академии наук;20;1
470;Федеральное государственное бюджетное учреждение науки Институт молекулярной генетики Российской академии наук;20;1
491;федеральное государственное бюджетное учреждение науки Институт проблем машиноведения Российской академии наук;20;1
562;федеральное государственное бюджетное учреждение науки Институт эволюционной физиологии и биохимии им. И.М. Сеченова Российской академии наук;20;1
575;федеральное государственное бюджетное учреждение науки Институт ядерных исследований Российской академии наук;20;1
219;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;МИРЭА - Российский технологический университет&quot;";19;1
265;"Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Российский химико-технологический университет имени Д.И. Менделеева&quot;";19;1
401;федеральное государственное бюджетное учреждение науки Институт белка Российской академии наук;19;1
458;федеральное государственное бюджетное учреждение науки Институт математики им. С. Л. Соболева Сибирского отделения Российской академии наук;19;1
536;Федеральное государственное бюджетное учреждение науки Институт физики металлов имени М.Н. Михеева Уральского отделения Российской академии наук;19;1
589;Федеральное государственное бюджетное учреждение науки Ордена Ленина и Ордена Октябрьской Революции Институт геохимии и аналитической химии им. В.И. Вернадского Российской академии наук;19;1
79;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Самарский национальный исследовательский университет имени академика С.П. Королева&quot;";18;1
154;"Федеральное государственное бюджетное научное учреждение &quot;Федеральный научный центр животноводства - ВИЖ имени академика Л.К. Эрнста&quot;";18;1
284;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Саратовский государственный технический университет имени Гагарина Ю.А.&quot;";18;1
