region_rus;region;region_rus_from_map;region_EN_from_map;inventive_rate2018;research_expend_region2017;state_subsidy2018;state_subsidy2018_2;grant_fonds;other_types_financing;data_jan2019;phd_students;female;full_time;selffunded;n_uni_phd_prog;n_uni_phd_foreign;n_kandidat_defence2018;n_kandidat_defence_female2018;n_uni_diss_council;n_phdsupervisors2018;phd_superv_professor;n_phd_supervisor_female;n_phd_supervisor_female_prof;n_uni_elibrary;n_readers_elibrary;n_researchers2018;n_unis20172018;RNF_grants;n_researchers_per_grant;n_uni_grants;n_years_grants;n_categories_grants;rnf2014;rnf2015;rnf2016;rnf2017;rnf2018;rnf2019;n_org;n_grants_1row;n_grants_2row;n_grants_3row;n_grants_4row;n_grants_5row;n_grants_6row;n_grants_7row;megagrants_all;n_people_presidentgrant;ECI;randd_subrank1;randd_subrank2;research_outputWoS201517;patents_research_outputWoS201517;call_patents2015;density_foreign_stud;share_expendscience_region;n_projects;region_id;sum_14_19;sh_2014;sh_2015;sh_2016;sh_2017;sh_2018;sh_2019;first_period;second_period;change2015;change2016;change2017;change2018;change2019
Алтайский край;Altai territory;Алтайский край;Altayskiy kray;0.6;0.04;177804.8;10870.1;99935.6;131482.8;1774;701;393;438;335;10;6;45;25;0;264;110;112;40;83;4115;661;1;14;47.21;3;5;8;2;0;1;3;2;6;1;0;0;0;1;0;0;0;1;60;0.5288;0.45;0.3637;0.515;0.321;0.402;0.418;0.033;0.34;1;14;0.00179;0;0.00112;0.00183;0.00138;0.00286;0.00097;0.00203;-0.00179;0.00112;0.00071;-0.00045;0.00148
Амурская область;Amur region;Амурская область;Amurskaya oblastʹ;0.68;0.18;296101.2;300;17898.1;8462;2140;197;128;96;125;6;3;9;7;1;81;36;49;16;18;1327;143;4;4;35.75;3;2;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;-0.0696;0.37;0.3108;0.504;0.387;0.322;0.157;0.006;0.215;2;4;0.00179;0;0;0;0.00138;0;6E-04;0.00046;-0.00179;0;0;0.00138;-0.00138
Архангельская область (кроме Ненецкого автономного округа);Arkhangelsk region;Архангельская область;Arkhangelʹskaya oblastʹ;0.9;0.33;27108.9;86822;12088.9;6378.8;932;406;230;381;27;4;1;10;7;1;159;84;66;29;31;2221;166;4;11;15.09;2;4;10;0;2;0;4;4;1;1;0;0;0;0;1;0;0;1;35;0.148;0.44;0.3747;0.476;0;0;0.335;0.01;0.368;3;11;0;0.00478;0;0.00244;0.00276;0.00048;0.00159;0.00189;0.00478;-0.00478;0.00244;0.00032;-0.00229
Астраханская область;Astrakhan region;Астраханская область;Astrakhanskaya oblastʹ;0.59;0.13;22746.7;1000;18264.6;150;1602;441;250;211;136;6;2;23;15;1;196;103;98;45;40;1410;192;6;3;64;2;3;3;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;28;0.3453;0.43;0.3096;0.415;0.364;0;1;0.043;0.408;4;3;0.00089;0;0;0.00061;0.00069;0;3E-04;0.00043;-0.00089;0;0.00061;8E-05;-0.00069
Белгородская область;Belgorod region;Белгородская область;Belgorodskaya oblastʹ;1.05;0.24;125121.5;108274.5;120734;9342;953;1298;680;944;399;6;6;138;68;2;408;197;153;64;57;2457;414;5;44;9.41;2;6;20;6;3;2;7;8;18;0;0;0;0;0;0;0;0;0;66;0.3779;0.47;0.4057;0.534;0.403;0.426;0.502;0.094;0.554;5;44;0.00536;0.00718;0.00224;0.00427;0.00553;0.00859;0.00493;0.00613;0.00182;-0.00493;0.00203;0.00126;0.00306
Брянская область;Bryansk region;Брянская область;Bryanskaya oblastʹ;0.52;0.32;4052.6;700263.4;57751.7;292150;477;330;141;167;220;4;4;28;15;2;114;59;29;15;34;1172;86;5;3;28.67;1;3;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;15;0.7287;0.43;0.3823;0.535;0.298;0;0.321;0;0.397;6;3;0;0;0.00112;0.00061;0;0.00048;0.00037;0.00036;0;0.00112;-0.00051;-0.00061;0.00048
Владимирская область;Vladimir region;Владимирская область;Vladimirskaya oblastʹ;1.85;1.3;0;31586.3;32322;174527.3;6096;278;113;159;131;5;3;29;12;2;144;85;37;22;70;1505;298;3;4;74.5;2;0;3;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;29;0.7804;0.42;0.3907;0.28;0.508;0;0.182;0.02;0.381;7;4;0.00089;0;0.00112;0.00061;0.00069;0;0.00067;0.00043;-0.00089;0.00112;-0.00051;8E-05;-0.00069
Волгоградская область;Volgograd region;Волгоградская область;Volgogradskaya oblastʹ;1.08;0.46;211457.2;22637;103426.7;63350.3;3517;823;372;603;320;12;5;167;74;5;396;251;166;95;90;3668;426;12;20;21.3;4;0;13;3;2;3;0;6;6;0;0;0;0;0;0;0;0;0;51;0.6784;0.46;0.3356;0.473;0.443;0.286;0.261;0.022;0.374;8;20;0.00268;0.00478;0.00336;0;0.00415;0.00286;0.00361;0.00234;0.00211;-0.00142;-0.00336;0.00415;-0.00128
Вологодская область;Vologda region;Вологодская область;Vologodskaya oblastʹ;0.66;0.09;35183.9;24736.3;30174.1;2500;334;180;86;133;82;4;0;19;13;0;101;43;47;17;39;1780;95;3;4;23.75;2;0;4;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;14;0.242;0.38;0.3735;0.519;0.344;0.436;0.055;0.03;0.488;9;4;0.00089;0;0.00112;0;0;0.00095;0.00067;0.00032;-0.00089;0.00112;-0.00112;0;0.00095
Воронежская область;Voronezh region;Воронежская область;Voronezhskaya oblastʹ;2.02;0.94;315374.6;970822.3;75392.4;732818.8;11678;1564;660;992;774;17;8;157;80;6;665;370;228;100;179;3228;961;15;35;27.46;4;0;25;4;3;3;8;5;12;1;0;0;0;0;1;0;0;1;76;0.3088;0.54;0.405;0.278;0.566;0.441;0.279;0;0.406;10;35;0.00357;0.00718;0.00336;0.00488;0.00346;0.00573;0.0047;0.00469;0.00361;-0.00381;0.00152;-0.00143;0.00227
