Univ;n;org_profile.asp?id=;Причина;
национальный медицинский исследовательский центр онкологии;17;5626;переименована;
институт социально-политических исследований ран;6;1432;Создан ФИЦ;
институт энергетических проблем химической физики;4;81;Создан ФИЦ;
институт биофизики клетки ран;3;62;Создан ФИЦ;
институт проблем переработки углеводородов со ран;3;29;присоединён к другой;
сообщество профессиональных социологов;3;-;;
учебно-научно-производственный комплекс московского физико-технического института;3;150;филиал;
амикард;2;;;
димонта;2;;;
институт вычислительного моделирования сибирского отделения ран - обособленное подразделение фиц кнц со ран;2;73;Создан ФИЦ;
институт степи уро ран;2;3624;Создан ФИЦ;
институт физико-химических и биологических проблем почвоведения ран;2;62;Создан ФИЦ;
институт фундаментальных проблем биологии ран;2;62;Создан ФИЦ;
квантовые интеллектуальные технологии;2;-;;
московский центр непрерывного математического образования;2;-;;
научный центр ран в черноголовке;2;871;организация была с тем же названием;
русское общество истории и философии науки;2;-;;
хабаровское отделение федерального государственного бюджетного учреждения науки института прикладной математики дво ран;2;1266;филиал;
центральный научно-исследовательский институт стоматологии и челюстно-лицевой хирургии министерства здравоохранения российской федерации;2;3918;организация была с тем же названием;
NA;2;583;название было в аббревиатуре;
3д биопринтинг солюшенс;1;-;;
автономная некоммерческая организация лаборатория доистории;1;7527;организация была с тем же названием;
автономная некоммерческая организация научно-исследовательский институт проблем развития научно-образовательного потенциала молодежи;1;-;у них в адресе Греция, Ираклион, Крит;
государственный научно-исследовательский институт реставрации;1;15336;организация была с тем же названием;
дока-генные технологии;1;-;;
имтек;1;;;
институт геологии;1;513;Создан ФИЦ;
институт гуманитарных исследований и проблем малочисленных народов севера со ран;1;120;Создан ФИЦ;
институт космофизических исследований и аэрономии;1;120;Создан ФИЦ;
институт леса карельского научного центра ран;1;160;Создан ФИЦ;
институт морских биологических исследований;1;-;Севастополь и Крым не учитываем;
институт общественной мысли;1;-;;
институт повышения квалификации федерального медико-биологического агентства;1;8050;присоединён к другой;
институт угля со ран;1;15322;Создан ФИЦ;
институт экологии и генетики микроорганизмов уро ран - филиал федерального государственного бюджетного учреждения науки пермского федерального исследовательского центра уро ран;1;14797;Создан ФИЦ;
исро рао);1;15045;организация была с тем же названием;
малотоннажная химия;1;;;
научно-исследовательский центр по изучению свойств поверхности и вакуума;1;-;;
научно-конструкторское бюро робототехники и систем управления;1;-;;
научный центр волновых исследований федерального государственного бюджетного учреждения науки института общей физики;1;522;филиал;
полярный научно-исследовательский институт морского рыбного хозяйства и океанографии;1;551;присоединён к другой;
прикладная химия;1;-;;
реал таргет;1;;;
русское географическое общество;1;-;;
сварка и контроль при мгту;1;-;;
центp лазеpной технологии и матеpиаловедения (автономная некоммерческая организация);1;-;;
центр патологии речи и нейрореабилитации департамента города москвы;1;-;;
центр трансляционных технологий;1;;;
центральный научно-исследовательский институт организации и информатизации здравоохранения министерства здравоохранения российской федерации;1;6738;организация была с тем же названием;
центральный научно-исследовательский институт технологии машиностроения;1;3028;организация была с тем же названием;
центральный научно-исследовательский институт травматологии и ортопедии минздрава россии;1;1669;переименована;
экономическая экспертная группа;1;;;
