"","Univers","n"
"1","&quot;Всероссийский научно-исследовательский ветеринарный институт птицеводства&quot; - филиал Федерального государственного бюджетного научного учреждения Федерального научного центра &quot;Всероссийский научно-исследовательский и технологический институт птицеводства&quot; Российской академии наук",1
"2","&quot;Институт экологии и генетики микроорганизмов Уральского отделения Российской академии наук&quot; - филиал Федерального государственного бюджетного учреждения науки Пермского федерального исследовательского центра Уральского отделения Российской академии наук",1
"3","Автономная некоммерческая образовательная организация высшего образования «Европейский университет в Санкт-Петербурге»",7
"4","Автономная некоммерческая образовательная организация высшего образования «Сколковский институт науки и технологий».",48
"5","Автономная некоммерческая организация высшего образования &quot;Гуманитарный университет&quot;",3
"6","Автономная некоммерческая организация высшего образования &quot;Университет Иннополис&quot;",9
"7","Автономная некоммерческая организация Лаборатория доистории",1
"8","Акционерное общество «Всероссийский научно-исследовательский институт по переработке нефти»",1
"9","Акционерное общество «Научно-производственное объединение Государственный оптический институт им. С.И. Вавилова»",1
"10","Акционерное общество &quot;Государственный научно-исследовательский и проектный институт редкометаллической промышленности &quot;Гиредмет&quot;",1
"11","Акционерное общество &quot;Государственный научный центр Российской Федерации – Физико-энергетический институт имени А.И. Лейпунского&quot;",2
"12","Акционерное общество &quot;Государственный научный центр Российской Федерации Троицкий институт инновационных и термоядерных исследований&quot;",5
"13","Акционерное общество &quot;Государственный оптический институт имени С.И.Вавилова&quot;",1
"14","Акционерное общество &quot;Научно-исследовательский институт железнодорожного транспорта&quot;",1
"15","Акционерное общество &quot;Ордена Трудового Красного Знамени научно-исследовательский физико-химический институт имени Л.Я. Карпова&quot;",1
"16","Акционерное общество &quot;Центральный научно – исследовательский технологический институт &quot;Техномаш&quot;",1
"17","Акционерное общество &quot;Энергетический институт им. Г.М. Кржижановского&quot;",1
"18","Всероссийский научно-исследовательский институт фундаментальной и прикладной паразитологии животных и растений - филиал ФГБНУ &quot;ФНЦ - Всероссийский научно-исследовательский институт экспериментальной ветеринарии имени К.И.Скрябина и Я.Р. Коваленко РАН&quot;",2
"19","Государственное автономное образовательное учреждение высшего образования Ленинградской области &quot;Ленинградский государственный университет имени А.С.Пушкина&quot;",1
"20","государственное бюджетное образовательное учреждение высшего образования Московской области &quot;Университет &quot;Дубна&quot;",1
"21","государственное бюджетное учреждение здравоохранения города Москвы &quot;Научно-исследовательский институт скорой помощи имени Н.В. Склифосовского Департамента здравоохранения города Москвы&quot;",1
"22","государственное научное бюджетное учреждение &quot;Академия наук Республики Татарстан&quot;",1
"23","Государственное образовательное учреждение высшего образования Московской области Московский государственный областной университет",1
"24","Государственный научный центр Российской Федерации - федеральное государственное унитарное предприятие &quot;Исследовательский центр имени М.В. Келдыша&quot;",2
"25","Государственный научный центр Российской Федерации &quot;Акционерное общество &quot;Научно-производственное объединение &quot;Центральный научно-исследовательский институт технологии машиностроения&quot;",1
"26","Институт биофизики Сибирского отделения Российской академии наук – обособленное подразделение ФИЦ КНЦ СО РАН",9
"27","Институт вычислительного моделирования Сибирского отделения Российской академии наук - обособленное подразделение ФИЦ КНЦ СО РАН",2
"28","Институт славяноведения Российской академии наук",4
"29","Казанская государственная медицинская академия - филиал федерального государственного бюджетного образовательного учреждения дополнительного профессионального образования «Российская медицинская академия непрерывного профессионального образования» Министерства здравоохранения Российской Федерации",1
"30","Международная межправительственная научно-исследовательская организация Объединенный институт ядерных исследований",18
"31","Научно-исследовательский институт терапии и профилактической медицины - филиал Федерального государственного бюджетного научного учреждения &quot;Федеральный исследовательский центр Институт цитологии и генетики Сибирского отделения Российской академии наук&quot;",4
"32","Научно-производственная корпорация &quot;Механобр-техника&quot; (акционерное общество)",4
"33","Научный фонд &quot;Международный центр по окружающей среде и дистанционному зондированию имени Нансена&quot;",3
"34","Научный центр волновых исследований Федерального государственного бюджетного учреждения науки Института общей физики им. А.М. Прохорова Российской академии наук (филиал)",1
"35","Негосударственное образовательное учреждение &quot;Учебно-научно-производственный комплекс Московского физико-технического института&quot;",3
"36","Негосударственное образовательное учреждение высшего образования &quot;Российская экономическая школа&quot; (институт)",2
"37","Негосударственное образовательное учреждение высшего профессионального образования &quot;Институт языков и культур имени Льва Толстого&quot;",1
"38","Негосударственное образовательное частное учреждение высшего образования &quot;Московский институт психоанализа&quot;",2
"39","Образовательная автономная некоммерческая организация высшего образования &quot;Московская высшая школа социальных и экономических наук&quot;",1
"40","Образовательное частное учреждение высшего образования «Православный Свято-Тихоновский гуманитарный университет»",3
"41","Общество с ограниченной ответственностью &quot;БИОТРОФ+&quot;",25
"42","Общество с ограниченной ответственностью &quot;Международный центр квантовой оптики и квантовых технологий&quot;",15
"43","Общество с ограниченной ответственностью Научно-технический центр &quot;БиоКлиникум&quot;",3
"44","Озерский технологический институт - филиал федерального государственного автономного образовательного учреждения высшего образования &quot;Национальный исследовательский ядерный университет &quot;МИФИ&quot;",2
"45","ООО &quot;Научно-производственный центр Динамика&quot;",1
"46","Открытое акционерное общество &quot;Всероссийский дважды ордена Трудового Красного Знамени Теплотехнический научно-исследовательский институт&quot;",1
"47","Открытое Акционерное Общество Всероссийский научно-исследовательский проектно-конструкторский и технологический институт кабельной промышленности",3
"48","ФГБУ &quot;Центральный научно-исследовательский институт травматологии и ортопедии&quot; Минздрава России",1
"49","Федерально государственное бюджетное учреждение &quot;Российская академия образования&quot;",1
"50","федеральное бюджетное учреждение &quot;Всероссийский научно-исследовательский институт документоведения и архивного дела&quot;",1
"51","Федеральное бюджетное учреждение науки &quot;Государственный научный центр вирусологии и биотехнологии &quot;Вектор&quot; Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека",8
"52","федеральное бюджетное учреждение науки &quot;Государственный научный центр прикладной микробиологии и биотехнологии&quot;",7
"53","Федеральное бюджетное учреждение науки &quot;Санкт-Петербургский научно-исследовательский институт эпидемиологии и микробиологии им. Пастера&quot; Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека",4
