"","Регион","Год","Номер гранта","Univ","Uni","id","share_good","N_pub_WOSSC5_persent","N_pub_WOSSC5","N_elibrary5"
"1","Воронежская обл",2017,"17-78-20048","воронежский государственный педагогический университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ",363,3.98330144372934,4.6,229,5748
"2","Воронежская обл",2018,"18-78-10081","воронежский государственный педагогический университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ",363,3.98330144372934,4.6,229,5748
"3","Воронежская обл",2017,"17-76-10059","воронежский государственный университет инженерных технологий","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИНЖЕНЕРНЫХ ТЕХНОЛОГИЙ",681,2.43681629573746,2.7,323,13254
"4","Воронежская обл",2018,"18-76-10015","воронежский государственный университет инженерных технологий","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИНЖЕНЕРНЫХ ТЕХНОЛОГИЙ",681,2.43681629573746,2.7,323,13254
"5","Воронежская обл",2019,"19-76-10023","воронежский государственный университет инженерных технологий","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИНЖЕНЕРНЫХ ТЕХНОЛОГИЙ",681,2.43681629573746,2.7,323,13254
"6","Воронежская обл",2014,"14-14-00721","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"7","Воронежская обл",2014,"14-21-00066","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"8","Воронежская обл",2014,"14-13-01470","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"9","Воронежская обл",2014,"14-12-00583","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"10","Воронежская обл",2015,"15-13-10036","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"11","Воронежская обл",2015,"15-11-10022","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"12","Воронежская обл",2015,"15-15-00137","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"13","Воронежская обл",2016,"16-14-00176","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"14","Воронежская обл",2016,"16-11-10125","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"15","Воронежская обл",2016,"16-15-00003","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"16","Воронежская обл",2017,"17-75-10046","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"17","Воронежская обл",2017,"17-14-00065","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"18","Воронежская обл",2017,"17-71-10057","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"19","Воронежская обл",2017,"17-72-10225","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"20","Воронежская обл",2017,"17-72-10287","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"21","Воронежская обл",2017,"17-72-20105","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"22","Воронежская обл",2018,"18-74-10097","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"23","Воронежская обл",2018,"18-76-00027","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"24","Воронежская обл",2018,"18-12-00476","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"25","Воронежская обл",2019,"19-14-00150","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"26","Воронежская обл",2019,"19-18-00205","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"27","Воронежская обл",2019,"19-11-00146","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"28","Воронежская обл",2019,"19-12-00095","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"29","Воронежская обл",2019,"19-72-10007","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"30","Воронежская обл",2019,"19-12-00266","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"31","Воронежская обл",2019,"19-79-10144","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"32","Воронежская обл",2019,"19-11-00197","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"33","Воронежская обл",2019,"19-15-11001","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"34","Воронежская обл",2019,"19-72-20180","воронежский государственный университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",199,5.2483768684886,5.9,1738,33114
"35","Воронежская обл",2019,"19-79-10109","воронежский государственный технический университет","ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ",1147,4.00285578296049,4.4,841,21009
