"","X1","X1_1","Год","Номер гранта","Регион","Аббревиатура","Univers","Univ","Uni","id","page","garb"
"1",102,6971,2016,"16-11-10075","г Москва","ЧОУ ДПО МЦНМО","Частное образовательное учреждение дополнительного профессионального образования &quot;Московский Центр непрерывного математического образования&quot;","московский центр непрерывного математического образования",NA,NA,NA,1
"2",103,6972,2019,"19-11-13019","г Москва","ЧОУ ДПО МЦНМО","Частное образовательное учреждение дополнительного профессионального образования &quot;Московский Центр непрерывного математического образования&quot;","московский центр непрерывного математического образования",NA,NA,NA,1
"3",123,8011,2017,"17-12-01324","г Москва","ЦЛТМ","Научная организация &quot;Центp лазеpной технологии и матеpиаловедения&quot; (Автономная некоммерческая организация)","центp лазеpной технологии и матеpиаловедения (автономная некоммерческая организация)",NA,NA,NA,1
"4",127,7986,2014,"14-11-00335","Хабаровский край","ХО ИПМ ДВО РАН","Хабаровское отделение Федерального государственного бюджетного учреждения науки Института прикладной математики Дальневосточного отделения Российской академии наук","хабаровское отделение федерального государственного бюджетного учреждения науки института прикладной математики дво ран",NA,NA,NA,1
"5",128,7987,2017,"17-11-00023","Хабаровский край","ХО ИПМ ДВО РАН","Хабаровское отделение Федерального государственного бюджетного учреждения науки Института прикладной математики Дальневосточного отделения Российской академии наук","хабаровское отделение федерального государственного бюджетного учреждения науки института прикладной математики дво ран",NA,NA,NA,1
"6",489,6203,2018,"18-16-00001","г Севастополь","ФГБУН ИМБИ","федеральное государственное бюджетное учреждение науки &quot;Институт морских биологических исследований имени А.О. Ковалевского РАН&quot;","институт морских биологических исследований",NA,NA,NA,1
"7",569,6206,2014,"14-15-00758","г Москва","ФГБОУ ДПО ИПК ФМБА России","Федеральное государственное бюджетное образовательное учреждение дополнительного профессионального образования «Институт повышения квалификации Федерального медико-биологического агентства»","институт повышения квалификации федерального медико-биологического агентства",NA,NA,NA,1
"8",1833,7281,2014,"14-14-00808","Мурманская обл","ПИНРО","федеральное государственное бюджетное научное учреждение &quot;Полярный научно-исследовательский институт морского рыбного хозяйства и океанографии им. Н. М. Книповича&quot;","полярный научно-исследовательский институт морского рыбного хозяйства и океанографии",NA,NA,NA,1
"9",1879,6571,2017,"17-71-10152","Республика Татарстан","ООО «КИТ»","Общество с ограниченной ответственностью &quot;Квантовые Интеллектуальные Технологии&quot;","квантовые интеллектуальные технологии",NA,NA,NA,1
"10",1880,6572,2019,"19-71-00149","Республика Татарстан","ООО «КИТ»","Общество с ограниченной ответственностью &quot;Квантовые Интеллектуальные Технологии&quot;","квантовые интеллектуальные технологии",NA,NA,NA,1
"11",1954,7032,2014,"14-21-00158","Московская обл","НЦЧ РАН","Федеральное государственное бюджетное учреждение науки Научный центр Российской академии наук в Черноголовке","научный центр ран в черноголовке",NA,NA,NA,1
"12",1955,7033,2017,"17-21-00013","Московская обл","НЦЧ РАН","Федеральное государственное бюджетное учреждение науки Научный центр Российской академии наук в Черноголовке","научный центр ран в черноголовке",NA,NA,NA,1
"13",1972,7031,2016,"16-19-10656","г Москва","НЦВИ ИОФ РАН","Научный центр волновых исследований Федерального государственного бюджетного учреждения науки Института общей физики им. А.М. Прохорова Российской академии наук (филиал)","научный центр волновых исследований федерального государственного бюджетного учреждения науки института общей физики",NA,NA,NA,1
